text,label
Interactive Quiz on Sociology of Media,YES
A tech billionaire Spotted Out for Dinner - Photos Inside,NO
Noise-cancelling headphones Review After 3 Months of Daily Use,NO
Celebrity Gossip: Who Wore It Best?,NO
Top 10 Funniest Among Us Fails of All Time,NO
I Spent $500 on Loot Boxes - Was It Worth It? (Watch Now),NO
Step-by-Step Guide to Mastering The Immune System,YES
A tech billionaire's New Reality Show Trailer Just Dropped,NO
A famous actor Just Dropped a Shocking Announcement,NO
The Ultimate Guide to This Season's Fashion Trends,NO
University Lecture Series on Shakespeare's Plays,YES
Is a stand-up comedian Dating Someone New? Rumors Swirl,NO
My Morning Routine: Get Ready With Me,NO
An Olympic athlete Drops Surprise Album at Midnight,NO
Easy Weeknight Bread Recipe - So Fluffy! (Watch Now),NO
This Prank Went Too Far - Reaction Video,NO
5 a portable speaker You Should Buy Right Now,NO
Common Mistakes When Learning Calculus,YES
Practice Problems: The Industrial Revolution,YES
Meme Compilation: Try Not to Laugh Challenge,NO
Learn Algorithms in 30 Days,YES
Exclusive Interview With a Reality TV Star,NO
Study Guide for Thermodynamics,YES
Among Us Live Stream - Come Hang Out!,NO
Kubernetes - Full Course for Beginners,YES
Red Carpet Fashion at the Award Show,NO
A Deep Dive into Renaissance Art,YES
Watch a K-pop idol Perform Live at the Awards Show,NO
Best Deals on noise-cancelling headphones This Week,NO
Reacting to the New GTA V Trailer,NO
Newton's Laws 101: Everything You Need to Know,YES
Is a YouTuber Dating Someone New? Rumors Swirl,NO
Top 10 Funniest Rocket League Fails of All Time,NO
Ranking Every Rocket League Map From Worst to Best,NO
Ranking Every Elden Ring Map From Worst to Best,NO
Behind the Scenes of the Latest Music Video,NO
University Lecture Series on The Water Cycle,YES
Breaking: Local Team Wins Championship Game,NO
Exam Prep: Cell Biology Revision Notes,YES
"Object-Oriented Programming: Definitions, Formulas, and Examples",YES
Practice Problems: Evolution,YES
Netflix Releases New Show - Trailer Reaction,NO
Ranking Every Overwatch 2 Map From Worst to Best,NO
Ranking Every Counter-Strike 2 Weapon Skin Tier List,NO
Shop the Look: Celebrity Street Style,NO
A Hollywood couple Just Dropped a Shocking Announcement,NO
A famous actor's New Reality Show Trailer Just Dropped,NO
Vlog: A Day in My Life,NO
Chess Opening Theory: The Sicilian Defense Explained,YES
A famous actor Drops Surprise Album at Midnight,NO
Ranking Every Fortnite Map From Worst to Best,NO
Cutest Dog Videos Compilation,NO
Live Score Update: Match Highlights,NO
Ancient Greek Philosophy for High School Students,YES
Taylor Swift Spotted Out for Dinner - Photos Inside,NO
World War II Explained with Diagrams,YES
A football star Responds to Backlash in New Statement,NO
Understanding Supply and Demand: A Beginner's Guide,YES
Is a tech billionaire Dating Someone New? Rumors Swirl,NO
A stand-up comedian's New Reality Show Trailer Just Dropped,NO
Understanding Interest Rates and Loan Amortization,YES
Wireless earbuds Review After 3 Months of Daily Use,NO
A portable speaker Unboxing and First Impressions,NO
Interactive Quiz on Renaissance Art,YES
Interactive Quiz on Operating Systems,YES
Wireless earbuds Unboxing and First Impressions,NO
Top 5 Restaurants You Need to Try This Weekend,NO
Watch an Olympic athlete Perform Live at the Awards Show,NO
Common Mistakes When Learning Machine Learning,YES
An influencer Drops Surprise Album at Midnight,NO
The Chemistry of Why Onions Make You Cry (Full Explanation),YES
Comparing the Top 3 a phone case Brands,NO
Rainbow Six Siege Funny Moments Montage,NO
Taylor Swift's Wildest Moments Compilation,NO
Unboxing the New a laptop: Is It Worth the Hype?,NO
How Does Black Holes Work?,YES
Introduction to Supply and Demand,YES
Learn Big-O Notation in 30 Days,YES
A rapper's Wildest Moments Compilation,NO
New Trailer Drops for Upcoming Superhero Movie,NO
League of Legends Live Stream - Come Hang Out!,NO
Why Everyone Is Obsessed With a robot vacuum This Year,NO
Giveaway Alert: Win a Free a mechanical keyboard!,NO
A Deep Dive into DNA Replication,YES
Flashcards: Key Terms in Newton's Laws,YES
Comparing the Top 3 sneakers Brands,NO
My a laptop Wishlist for This Holiday Season,NO
Key Concepts in Public Speaking,YES
Unboxing the New skincare products: Is It Worth the Hype?,NO
Why Everyone Is Obsessed With a backpack This Year,NO
You Won't Believe What Happened at This Concert,NO
The Cold War for High School Students,YES
Common Mistakes When Learning The Water Cycle,YES
An influencer Spotted Out for Dinner - Photos Inside,NO
"The Industrial Revolution: Definitions, Formulas, and Examples",YES
Giveaway Alert: Win a Free a portable speaker!,NO
Counter-Strike 2 New Update Patch Notes - What Changed,NO
Ranking Every Roblox Weapon Skin Tier List,NO
MIT OpenCourseWare - Data Structures,YES
Frame-Perfect Speedrun Highlights Reel,NO
"Cryptography: Definitions, Formulas, and Examples",YES
Watch an influencer Perform Live at the Awards Show,NO
Elden Ring Funny Moments Compilation #47,NO
A stand-up comedian Responds to Backlash in New Statement,NO
Is a K-pop idol Dating Someone New? Rumors Swirl,NO
Comparing Theories of DNA Replication,YES
Interactive Quiz on Kubernetes,YES
Giveaway Alert: Win a Free skincare products!,NO
A Hollywood couple Responds to Backlash in New Statement,NO
A portable speaker Review After 3 Months of Daily Use,NO
Homework Help: The Industrial Revolution Questions Solved,YES
Python Programming Tutorial for Students,YES
Valorant Funny Moments Compilation #47,NO
The French Revolution - Full Course for Beginners,YES
NBA Highlights: Top 10 Dunks This Week (Watch Now),NO
Overwatch 2 Funny Moments Compilation #47,NO
Riding the World's Scariest Roller Coaster - Vlog (Watch Now),NO
Ranking Every League of Legends Weapon Skin Tier List,NO
The Physics of Rainbows: Refraction and Dispersion,YES
Minecraft Pro Player Banned for Cheating,NO
A late-night host's New Reality Show Trailer Just Dropped,NO
Comparing Theories of The Water Cycle,YES
A gaming chair Review After 3 Months of Daily Use,NO
Unboxing the New a coffee maker: Is It Worth the Hype?,NO
Minecraft Tier List: Best Characters Ranked,NO
Introduction to World War II,YES
A supermodel Responds to Backlash in New Statement,NO
A basketball star Spotted Out for Dinner - Photos Inside,NO
Weekend Getaway Ideas for Couples,NO
A K-pop idol Responds to Backlash in New Statement,NO
Crash Course: Public Speaking,YES
Key Concepts in Organic Chemistry,YES
Top 10 Funniest Genshin Impact Fails of All Time,NO
Exam Prep: React.js Revision Notes,YES
Ranking Every Overwatch 2 Weapon Skin Tier List,NO
5 a gaming chair You Should Buy Right Now,NO
A fitness tracker Review After 3 Months of Daily Use,NO
Top 10 Funniest Overwatch 2 Fails of All Time,NO
Best Deals on a robot vacuum This Week,NO
A YouTuber's Wildest Moments Compilation,NO
Watch: a tech billionaire Goes Viral on Social Media,NO
Best Deals on wireless earbuds This Week,NO
An air fryer Unboxing and First Impressions,NO
Watch a YouTuber Perform Live at the Awards Show,NO
How Does Operating Systems Work?,YES
I Played Genshin Impact for 24 Hours Straight,NO
How to Get Free Shipping on Your Next Order,NO
My a coffee maker Wishlist for This Holiday Season,NO
An influencer's New Reality Show Trailer Just Dropped,NO
10 Recipes for a Cozy Weekend Brunch,NO
The Science Behind Research Methods,YES
A K-pop idol Spotted Out for Dinner - Photos Inside,NO
Rocket League Funny Moments Compilation #47,NO
I Played Animal Crossing for 24 Hours Straight,NO
Counter-Strike 2 Funny Moments Compilation #47,NO
Minecraft Funny Moments Compilation #47,NO
Ranking Every GTA V Map From Worst to Best,NO
GTA V Tier List: Best Characters Ranked,NO
Watch a rapper Perform Live at the Awards Show,NO
My noise-cancelling headphones Wishlist for This Holiday Season,NO
Exam Prep: SQL Databases Revision Notes,YES
Fortnite New Update Patch Notes - What Changed,NO
Khan Academy: The Immune System,YES
Chemical Bonding - Full Course for Beginners,YES
An Olympic athlete's Wildest Moments Compilation,NO
Crash Course: Astrophysics,YES
Top 10 Funniest Valorant Fails of All Time,NO
Flashcards: Key Terms in World War II,YES
5 a smartwatch You Should Buy Right Now,NO
A K-pop idol's New Reality Show Trailer Just Dropped,NO
Black Holes Tutorial for Students,YES
Flash Sale: Limited Time Offer on Electronics,NO
FIFA 26 Funny Moments Compilation #47,NO
League of Legends New Update Patch Notes - What Changed,NO
Is a famous actor Dating Someone New? Rumors Swirl,NO
Why Everyone Is Obsessed With a portable speaker This Year,NO
Docker 101: Everything You Need to Know,YES
How Does Macroeconomics Work?,YES
Study Guide for The French Language,YES
Introduction to SQL Databases,YES
University Lecture Series on DNA Replication,YES
Comparing the Top 3 an air fryer Brands,NO
Introduction to Operating Systems,YES
Homework Help: Genetics Questions Solved,YES
My skincare products Wishlist for This Holiday Season,NO
A late-night host Drops Surprise Album at Midnight,NO
Cryptography Explained Simply,YES
Research Paper: Advances in World War II,YES
Watch a football star Perform Live at the Awards Show,NO
League of Legends Pro Player Banned for Cheating,NO
Why Everyone Is Obsessed With sunglasses This Year,NO
League of Legends Funny Moments Compilation #47,NO
This TikTok Dance Is Taking Over the Internet,NO
I Played Rocket League for 24 Hours Straight,NO
Quantum Mechanics - Full Course for Beginners,YES
Reacting to the New Apex Legends Trailer,NO
Understanding Stock Market Crashes: An Economic Analysis,YES
Flashcards: Key Terms in Plate Tectonics,YES
Skincare products Unboxing and First Impressions,NO
Unboxing the New sunglasses: Is It Worth the Hype?,NO
Research Paper: Advances in Chemical Bonding,YES
Rocket League Live Stream - Come Hang Out!,NO
How to Read a Balance Sheet: Accounting Basics,YES
A Deep Dive into The French Revolution,YES
Ranking Every Genshin Impact Map From Worst to Best,NO
Lecture Notes: Python Programming,YES
Why Everyone Is Obsessed With a mechanical keyboard This Year,NO
Huge Sale: an air fryer Now 50% Off,NO
Introduction to Statistics,YES
5 skincare products You Should Buy Right Now,NO
Top 10 Funniest Minecraft Fails of All Time,NO
Research Methods Explained Simply,YES
Ranking Every Valorant Map From Worst to Best,NO
Chemical Bonding for High School Students,YES
Reacting to the New Overwatch 2 Trailer,NO
The Statistics Behind Fantasy Football Predictions (Full Explanation),YES
MIT OpenCourseWare - Big-O Notation,YES
I Played Elden Ring for 24 Hours Straight,NO
Watch Taylor Swift Perform Live at the Awards Show,NO
Data Structures - Full Course for Beginners,YES
Introduction to Cryptography,YES
Watch: a basketball star Goes Viral on Social Media,NO
Watch a reality TV star Perform Live at the Awards Show,NO
Is a supermodel Dating Someone New? Rumors Swirl,NO
A stand-up comedian's Wildest Moments Compilation,NO
Ranking Every Minecraft Weapon Skin Tier List,NO
MIT OpenCourseWare - Docker,YES
Common Mistakes When Learning Shakespeare's Plays,YES
Is an Olympic athlete Dating Someone New? Rumors Swirl,NO
Common Mistakes When Learning Supply and Demand,YES
Reacting to the New Rocket League Trailer,NO
How Search Engines Rank Pages: An Intro to Algorithms,YES
Organic Chemistry Cheat Sheet for Exams,YES
Study Guide for Macroeconomics,YES
An Olympic athlete Spotted Out for Dinner - Photos Inside,NO
Ranking Every Apex Legends Weapon Skin Tier List,NO
Fortnite Live Stream - Come Hang Out!,NO
My sneakers Wishlist for This Holiday Season,NO
World War II Explained Simply,YES
Step-by-Step Guide to Mastering The French Revolution,YES
Understanding Probability Theory: A Beginner's Guide,YES
A rapper Responds to Backlash in New Statement,NO
Is a Hollywood couple Dating Someone New? Rumors Swirl,NO
Khan Academy: Python Programming,YES
Understanding Object-Oriented Programming: A Beginner's Guide,YES
Watch: a Hollywood couple Goes Viral on Social Media,NO
Genetics Explained Simply,YES
Practice Problems: React.js,YES
A YouTuber Just Dropped a Shocking Announcement,NO
Chemical Bonding Tutorial for Students,YES
The Immune System - Full Course for Beginners,YES
Lecture Notes: Computer Networks,YES
How Does Photosynthesis Work?,YES
Top 10 Funniest FIFA 26 Fails of All Time,NO
My Honest Review of This Trendy Air Fryer,NO
Docker Explained Simply,YES
Sunglasses Review After 3 Months of Daily Use,NO
Research Paper: Advances in Ancient Greek Philosophy,YES
FIFA 26 New Update Patch Notes - What Changed,NO
Sunglasses Unboxing and First Impressions,NO
Reacting to the New Roblox Trailer,NO
The Periodic Table Explained with Diagrams,YES
Prisoner's Dilemma? Nah Just Prison Break Movie Recap,NO
A Lecture on the Causes of the French Revolution,YES
Learn Ancient Greek Philosophy in 30 Days,YES
A supermodel Drops Surprise Album at Midnight,NO
Lecture Notes: Statistics,YES
Lecture Notes: The Cold War,YES
Counter-Strike 2 Live Stream - Come Hang Out!,NO
A supermodel Spotted Out for Dinner - Photos Inside,NO
Watch a late-night host Perform Live at the Awards Show,NO
Comparing the Top 3 wireless earbuds Brands,NO
A Deep Dive into Relativity,YES
Learn The Roman Empire in 30 Days,YES
Minecraft New Update Patch Notes - What Changed,NO
Overwatch 2 New Update Patch Notes - What Changed,NO
Comparing the Top 3 a laptop Brands,NO
Is a football star Dating Someone New? Rumors Swirl,NO
Understanding DNA Replication: A Beginner's Guide,YES
A K-pop idol Drops Surprise Album at Midnight,NO
Common Mistakes When Learning Human Anatomy,YES
The Industrial Revolution Tutorial for Students,YES
My a portable speaker Wishlist for This Holiday Season,NO
Comparing Theories of Genetics,YES
A rapper Spotted Out for Dinner - Photos Inside,NO
I Played GTA V for 24 Hours Straight,NO
Why Everyone Is Obsessed With skincare products This Year,NO
Valorant Pro Player Banned for Cheating,NO
I Played League of Legends for 24 Hours Straight,NO
Counter-Strike 2 Tier List: Best Characters Ranked,NO
Computer Networks Cheat Sheet for Exams,YES
Homework Help: Probability Theory Questions Solved,YES
Flashcards: Key Terms in Object-Oriented Programming,YES
Giveaway Alert: Win a Free noise-cancelling headphones!,NO
Is a basketball star Dating Someone New? Rumors Swirl,NO
Study Guide for Cognitive Biases,YES
University Lecture Series on Operating Systems,YES
The Science Behind Statistics,YES
Khan Academy: Color Theory,YES
Khan Academy: Research Methods,YES
Spanish Grammar - Full Course for Beginners,YES
Giveaway Alert: Win a Free wireless earbuds!,NO
Khan Academy: Sociology of Media,YES
Common Mistakes When Learning World War II,YES
A robot vacuum Review After 3 Months of Daily Use,NO
A basketball star Just Dropped a Shocking Announcement,NO
Comparing the Top 3 sunglasses Brands,NO
What Causes Inflation? An Economics Primer,YES
An Olympic athlete Responds to Backlash in New Statement,NO
A Hollywood couple Drops Surprise Album at Midnight,NO
Giveaway Alert: Win a Free a backpack!,NO
Top Gaming Setups of 2026,NO
A stand-up comedian Drops Surprise Album at Midnight,NO
Learn Cell Biology in 30 Days,YES
MIT OpenCourseWare - React.js,YES
Noise-cancelling headphones Unboxing and First Impressions,NO
Among Us Funny Moments Compilation #47,NO
Why Everyone Is Obsessed With noise-cancelling headphones This Year,NO
Interactive Quiz on Data Structures,YES
My a phone case Wishlist for This Holiday Season,NO
A mechanical keyboard Unboxing and First Impressions,NO
Khan Academy: Renaissance Art,YES
A famous actor Responds to Backlash in New Statement,NO
A rapper's New Reality Show Trailer Just Dropped,NO
Study Guide for Sociology of Media,YES
A football star Drops Surprise Album at Midnight,NO
Top 10 Funniest Animal Crossing Fails of All Time,NO
Flashcards: Key Terms in APA Citation,YES
An Olympic athlete's New Reality Show Trailer Just Dropped,NO
Is a pop star Dating Someone New? Rumors Swirl,NO
Weather Was Crazy Today - Storm Chasing Vlog (Watch Now),NO
5 a robot vacuum You Should Buy Right Now,NO
Study Guide for Public Speaking,YES
Rocket League New Update Patch Notes - What Changed,NO
University Lecture Series on Cell Biology,YES
Learn Probability Theory in 30 Days,YES
Best Deals on a fitness tracker This Week,NO
Learn Linear Algebra in 30 Days,YES
The History Behind Chess: Origins and Evolution of the Game,YES
Comparing the Top 3 skincare products Brands,NO
Introduction to Probability Theory,YES
Study Guide for APA Citation,YES
Best Deals on sunglasses This Week,NO
A laptop Unboxing and First Impressions,NO
Key Concepts in Climate Change Science,YES
Why Everyone Is Obsessed With a gaming chair This Year,NO
Best Deals on an air fryer This Week,NO
Interactive Quiz on Supply and Demand,YES
Animal Crossing New Update Patch Notes - What Changed,NO
Comparing Theories of Algorithms,YES
The Physics of Basketball: Projectile Motion Explained,YES
Roblox Tier List: Best Characters Ranked,NO
Comparing Theories of Neural Networks,YES
Rocket League Tier List: Best Characters Ranked,NO
University Lecture Series on Microeconomics,YES
Khan Academy: Data Structures,YES
Reacting to the New Valorant Trailer,NO
Color Theory Cheat Sheet for Exams,YES
Valorant Tier List: Best Characters Ranked,NO
Why Everyone Is Obsessed With sneakers This Year,NO
Microeconomics Cheat Sheet for Exams,YES
FIFA 26 Live Stream - Come Hang Out!,NO
Financial Accounting 101: Everything You Need to Know,YES
Watch a supermodel Perform Live at the Awards Show,NO
Is a reality TV star Dating Someone New? Rumors Swirl,NO
A tech billionaire Drops Surprise Album at Midnight,NO
Study Guide for Algorithms,YES
Introduction to Cell Biology,YES
Elden Ring Pro Player Banned for Cheating,NO
A YouTuber Responds to Backlash in New Statement,NO
Chess Streamer Rage Quits - Funny Clip,NO
Common Mistakes When Learning The Cold War,YES
Animal Crossing Live Stream - Come Hang Out!,NO
Unboxing the New an air fryer: Is It Worth the Hype?,NO
"Calculus: Definitions, Formulas, and Examples",YES
Call of Duty Tier List: Best Characters Ranked,NO
Huge Sale: wireless earbuds Now 50% Off,NO
How Does Game Theory Work?,YES
The Economics of Video Game Microtransactions (Full Explanation),YES
Study Guide for Organic Chemistry,YES
Key Concepts in Operating Systems,YES
Learn Machine Learning in 30 Days,YES
Flashcards: Key Terms in Supply and Demand,YES
A YouTuber's New Reality Show Trailer Just Dropped,NO
Lecture Notes: Research Methods,YES
Ranking Every League of Legends Map From Worst to Best,NO
Giveaway Alert: Win a Free a laptop!,NO
Introduction to The Immune System,YES
Study Guide for Climate Change Science,YES
Kubernetes 101: Everything You Need to Know,YES
Crash Course: Plate Tectonics,YES
A supermodel Just Dropped a Shocking Announcement,NO
Apex Legends Live Stream - Come Hang Out!,NO
Comparing the Top 3 noise-cancelling headphones Brands,NO
Supply and Demand Tutorial for Students,YES
Sneakers Review After 3 Months of Daily Use,NO
Watch: a famous actor Goes Viral on Social Media,NO
Homework Help: Data Structures Questions Solved,YES
Watch: a late-night host Goes Viral on Social Media,NO
A YouTuber Drops Surprise Album at Midnight,NO
Watch a pop star Perform Live at the Awards Show,NO
5 a coffee maker You Should Buy Right Now,NO
Lecture Notes: Financial Accounting,YES
Golf Vlog: A Day at the Country Club (Watch Now),NO
A pop star Drops Surprise Album at Midnight,NO
A famous actor Spotted Out for Dinner - Photos Inside,NO
Music Theory Behind Viral TikTok Songs (Full Explanation),YES
Watch a tech billionaire Perform Live at the Awards Show,NO
Interactive Quiz on Spanish Grammar,YES
A backpack Unboxing and First Impressions,NO
University Lecture Series on Financial Accounting,YES
Unboxing the New a mechanical keyboard: Is It Worth the Hype?,NO
Study Guide for Operating Systems,YES
The Industrial Revolution Explained with Diagrams,YES
Speedrunner Breaks World Record - Hype Reaction,NO
A reality TV star's New Reality Show Trailer Just Dropped,NO
A football star Spotted Out for Dinner - Photos Inside,NO
Easy Weeknight Bread Recipe - So Fluffy!,NO
Minecraft Redstone Computer Science Tutorial (Full Explanation),YES
A tech billionaire Responds to Backlash in New Statement,NO
Animal Crossing Tier List: Best Characters Ranked,NO
Why Everyone Is Obsessed With a coffee maker This Year,NO
Ancient Greek Philosophy Tutorial for Students,YES
A late-night host Responds to Backlash in New Statement,NO
Step-by-Step Guide to Mastering Object-Oriented Programming,YES
Exam Prep: Research Methods Revision Notes,YES
Khan Academy: Logic and Reasoning,YES
Ranking Every Call of Duty Weapon Skin Tier List,NO
Photosynthesis 101: Everything You Need to Know,YES
Watch: a rapper Goes Viral on Social Media,NO
Comparing the Top 3 a fitness tracker Brands,NO
Is an influencer Dating Someone New? Rumors Swirl,NO
How Does Logic and Reasoning Work?,YES
Genshin Impact New Update Patch Notes - What Changed,NO
A K-pop idol's Wildest Moments Compilation,NO
University Lecture Series on Algorithms,YES
Understanding Behavioral Psychology: A Beginner's Guide,YES
How Currency Exchange Rates Are Calculated,YES
GTA V Pro Player Banned for Cheating,NO
Key Concepts in Cell Biology,YES
Ranking Every Among Us Map From Worst to Best,NO
Apex Legends Pro Player Banned for Cheating,NO
Best Python Programming Jokes Compilation,NO
The Water Cycle - Full Course for Beginners,YES
Research Paper: Advances in JavaScript,YES
A supermodel's Wildest Moments Compilation,NO
Ancient Greek Philosophy Explained Simply,YES
Algorithms Explained with Diagrams,YES
Flashcards: Key Terms in Docker,YES
Understanding React.js: A Beginner's Guide,YES
How Does DNA Replication Work?,YES
The History and Rules of Chess Openings,YES
I Converted My Savings to Crypto - Update Vlog (Watch Now),NO
Watch: a pop star Goes Viral on Social Media,NO
MIT OpenCourseWare - The Immune System,YES
Step-by-Step Guide to Mastering Spanish Grammar,YES
A supermodel's New Reality Show Trailer Just Dropped,NO
A pop star's Wildest Moments Compilation,NO
Fortnite Funny Moments Compilation #47,NO
Understanding Genetics: A Beginner's Guide,YES
Overwatch 2 Tier List: Best Characters Ranked,NO
I Played Apex Legends for 24 Hours Straight,NO
A mechanical keyboard Review After 3 Months of Daily Use,NO
Essay Writing Explained with Diagrams,YES
My a fitness tracker Wishlist for This Holiday Season,NO
The Science Behind The Cold War,YES
Watch: a K-pop idol Goes Viral on Social Media,NO
Understanding The Roman Empire: A Beginner's Guide,YES
Khan Academy: Organic Chemistry,YES
Apex Legends New Update Patch Notes - What Changed,NO
5 a mechanical keyboard You Should Buy Right Now,NO
Practice Problems: Spanish Grammar,YES
MIT OpenCourseWare - SQL Databases,YES
Valorant Live Stream - Come Hang Out!,NO
Step-by-Step Guide to Mastering The Cold War,YES
Flashcards: Key Terms in Logic and Reasoning,YES
Watch: a YouTuber Goes Viral on Social Media,NO
University Lecture Series on Cryptography,YES
Comparing Theories of Ancient Greek Philosophy,YES
The Physics of Basketball: Projectile Motion Explained (Full Explanation),YES
Huge Sale: a portable speaker Now 50% Off,NO
Climate Change Science - Full Course for Beginners,YES
Comparing Theories of Relativity,YES
A football star Just Dropped a Shocking Announcement,NO
Learn Data Structures in 30 Days,YES
Thermodynamics Explained Simply,YES
Khan Academy: Chemical Bonding,YES
Study Guide for Shakespeare's Plays,YES
Common Mistakes When Learning The Immune System,YES
Study Guide for World War II,YES
University Lecture Series on The Periodic Table,YES
Key Concepts in Music Theory,YES
A fitness tracker Unboxing and First Impressions,NO
Key Concepts in Machine Learning,YES
My a gaming chair Wishlist for This Holiday Season,NO
Taylor Swift Responds to Backlash in New Statement,NO
Unboxing the New a portable speaker: Is It Worth the Hype?,NO
Best Deals on a coffee maker This Week,NO
Learn Genetics in 30 Days,YES
Reacting to the New FIFA 26 Trailer,NO
A Deep Dive into Sociology of Media,YES
A Beginner's Guide to Docker Containers,YES
Decoding Music Theory: What Makes a Chord Progression Work,YES
Debugging 101: How to Read a Stack Trace,YES
The French Revolution Cheat Sheet for Exams,YES
Comparing the Top 3 a gaming chair Brands,NO
Common Mistakes When Learning Logic and Reasoning,YES
Interactive Quiz on React.js,YES
Huge Sale: skincare products Now 50% Off,NO
Research Paper: Advances in Evolution,YES
Unboxing the New a smartwatch: Is It Worth the Hype?,NO
How to Bake the Fluffiest Pancakes for Breakfast,NO
How to Bake Bread: The Chemistry of Gluten Formation (Full Explanation),YES
A reality TV star Responds to Backlash in New Statement,NO
Lecture Notes: Essay Writing,YES
Lecture Notes: Relativity,YES
Introduction to Music Theory,YES
"APA Citation: Definitions, Formulas, and Examples",YES
Why Everyone Is Obsessed With wireless earbuds This Year,NO
My an air fryer Wishlist for This Holiday Season,NO
Computer Networks - Full Course for Beginners,YES
A basketball star Responds to Backlash in New Statement,NO
"Linear Algebra: Definitions, Formulas, and Examples",YES
Best Deals on a portable speaker This Week,NO
Organic Chemistry Explained Simply,YES
Step-by-Step Guide to Mastering Newton's Laws,YES
Is Taylor Swift Dating Someone New? Rumors Swirl,NO
Huge Sale: a mechanical keyboard Now 50% Off,NO
Homework Help: Human Anatomy Questions Solved,YES
The Science Behind Probability Theory,YES
Why Everyone Is Obsessed With a fitness tracker This Year,NO
Lecture Notes: Behavioral Psychology,YES
Learn Logic and Reasoning in 30 Days,YES
Giveaway Alert: Win a Free a gaming chair!,NO
Exam Prep: Computer Networks Revision Notes,YES
My wireless earbuds Wishlist for This Holiday Season,NO
Computer Networks Explained Simply,YES
Research Paper: Advances in Photosynthesis,YES
Ranking Every Elden Ring Weapon Skin Tier List,NO
Flashcards: Key Terms in The Industrial Revolution,YES
Cognitive Biases - Full Course for Beginners,YES
Study Guide for Python Programming,YES
Lecture Notes: Linear Algebra,YES
Step-by-Step Guide to Mastering Color Theory,YES
Evolution Cheat Sheet for Exams,YES
Comparing Theories of Newton's Laws,YES
A Deep Dive into Game Theory,YES
Among Us Tier List: Best Characters Ranked,NO
Understanding Music Theory: A Beginner's Guide,YES
Photosynthesis - Full Course for Beginners,YES
Chess Grandmaster Rage Quits Live on Stream,NO
5 a backpack You Should Buy Right Now,NO
Apex Legends Funny Moments Compilation #47,NO
Neural Networks Cheat Sheet for Exams,YES
I Played FIFA 26 for 24 Hours Straight,NO
How Does The Industrial Revolution Work?,YES
Public Speaking 101: Everything You Need to Know,YES
The Statistics Behind Fantasy Football Predictions,YES
University Lecture Series on Logic and Reasoning,YES
A robot vacuum Unboxing and First Impressions,NO
A backpack Review After 3 Months of Daily Use,NO
University Lecture Series on Black Holes,YES
Understanding Quantum Mechanics: A Beginner's Guide,YES
A stand-up comedian Spotted Out for Dinner - Photos Inside,NO
A smartwatch Review After 3 Months of Daily Use,NO
5 sunglasses You Should Buy Right Now,NO
NBA Highlights: Top 10 Dunks This Week,NO
Neural Networks - Full Course for Beginners,YES
This TikTok Song Is Stuck in My Head - Reaction (Watch Now),NO
Unboxing the New sneakers: Is It Worth the Hype?,NO
Comparing the Top 3 a smartwatch Brands,NO
A reality TV star Drops Surprise Album at Midnight,NO
Genshin Impact Tier List: Best Characters Ranked,NO
Minecraft Redstone Computer Science Tutorial,YES
JavaScript - Full Course for Beginners,YES
How Does Financial Accounting Work?,YES
Homework Help: Game Theory Questions Solved,YES
A rapper Drops Surprise Album at Midnight,NO
MIT OpenCourseWare - Quantum Mechanics,YES
Key Concepts in Chemical Bonding,YES
Understanding Recursion Through Simple Examples,YES
Exam Prep: Neural Networks Revision Notes,YES
Machine Learning Cheat Sheet for Exams,YES
Common Mistakes When Learning Thermodynamics,YES
