text,label
"The Immune System: Definitions, Formulas, and Examples",YES
The History and Rules of Cricket: A Sports Science Lesson,YES
University Lecture Series on Docker,YES
Ranking Every Among Us Weapon Skin Tier List,NO
The Roman Empire Cheat Sheet for Exams,YES
Chopping Onions Life Hack You Need to Know,NO
I Played Counter-Strike 2 for 24 Hours Straight,NO
University Lecture Series on Computer Networks,YES
Interactive Quiz on Behavioral Psychology,YES
Reacting to the New Minecraft Trailer,NO
MIT OpenCourseWare - Plate Tectonics,YES
Rocket League Pro Player Banned for Cheating,NO
The Grammar Rules Behind Subjunctive Mood in Spanish,YES
Key Concepts in Genetics,YES
Watch: Taylor Swift Goes Viral on Social Media,NO
The Water Cycle Explained Simply,YES
Understanding Microeconomics: A Beginner's Guide,YES
Study Guide for Machine Learning,YES
A reality TV star's Wildest Moments Compilation,NO
Comparing the Top 3 a robot vacuum Brands,NO
Big-O Notation for High School Students,YES
Step-by-Step Guide to Mastering Research Methods,YES
Netflix Releases New Show - Trailer Reaction (Watch Now),NO
Study Guide for Color Theory,YES
Color Theory Tutorial for Students,YES
A smartwatch Unboxing and First Impressions,NO
A YouTuber Spotted Out for Dinner - Photos Inside,NO
Comparing the Top 3 a portable speaker Brands,NO
Top 10 Funniest Call of Duty Fails of All Time,NO
5 a laptop You Should Buy Right Now,NO
How Does Organic Chemistry Work?,YES
Flashcards: Key Terms in Probability Theory,YES
Understanding APA Citation: A Beginner's Guide,YES
Learn React.js in 30 Days,YES
How Does Algorithms Work?,YES
A gaming chair Unboxing and First Impressions,NO
I Played Call of Duty for 24 Hours Straight,NO
Learn SQL Joins with Practical Examples,YES
Ranking Every GTA V Weapon Skin Tier List,NO
5 wireless earbuds You Should Buy Right Now,NO
Big-O Notation Cheat Sheet for Exams,YES
Operating Systems - Full Course for Beginners,YES
Thermodynamics for High School Students,YES
Docker Container Ship Gets Stuck - News Clip,NO
Plate Tectonics for High School Students,YES
How Do Vaccines Work? Immunology Explained,YES
Comparing the Top 3 a backpack Brands,NO
Minecraft Redstone Tutorial: Learn Logic Gates and Circuits,YES
A K-pop idol Just Dropped a Shocking Announcement,NO
The Biomechanics of a Perfect Golf Swing,YES
Learn The French Language in 30 Days,YES
How Does Chemical Bonding Work?,YES
Huge Sale: a gaming chair Now 50% Off,NO
Minecraft Live Stream - Come Hang Out!,NO
MIT OpenCourseWare - Public Speaking,YES
Key Concepts in Ancient Greek Philosophy,YES
Crash Course: Object-Oriented Programming,YES
Object-Oriented Programming 101: Everything You Need to Know,YES
Flashcards: Key Terms in Macroeconomics,YES
Watch a stand-up comedian Perform Live at the Awards Show,NO
I Played Valorant for 24 Hours Straight,NO
Khan Academy: Spanish Grammar,YES
Introduction to Plate Tectonics,YES
Understanding Sociology of Media: A Beginner's Guide,YES
Practice Problems: Color Theory,YES
Introduction to Game Theory: The Prisoner's Dilemma,YES
Practice Problems: Probability Theory,YES
Cell Biology Explained Simply,YES
Understanding Camera Aperture: A Photography Physics Lesson (Full Explanation),YES
Practice Problems: Algorithms,YES
Financial Accounting Cheat Sheet for Exams,YES
Watch: a football star Goes Viral on Social Media,NO
Interactive Quiz on Chemical Bonding,YES
Roblox Live Stream - Come Hang Out!,NO
Call of Duty Funny Moments Compilation #47,NO
Khan Academy: The French Language,YES
I Played Roblox for 24 Hours Straight,NO
Crash Course: Operating Systems,YES
Astrophysics Explained with Diagrams,YES
Khan Academy: Essay Writing,YES
Learn Evolution in 30 Days,YES
An influencer's Wildest Moments Compilation,NO
"Statistics for Beginners: Mean, Median, and Mode",YES
Lecture Notes: JavaScript,YES
Research Paper: Advances in Plate Tectonics,YES
Interactive Quiz on Cell Biology,YES
5 noise-cancelling headphones You Should Buy Right Now,NO
Photosynthesis Cheat Sheet for Exams,YES
Understanding Time Complexity with Real Code Examples,YES
A Hollywood couple's New Reality Show Trailer Just Dropped,NO
Valorant New Update Patch Notes - What Changed,NO
Step-by-Step Guide to Mastering Algorithms,YES
Understanding Thermodynamics: A Beginner's Guide,YES
Understanding Logic and Reasoning: A Beginner's Guide,YES
Neural Networks 101: Everything You Need to Know,YES
Supply and Demand - Full Course for Beginners,YES
Elden Ring Tier List: Best Characters Ranked,NO
University Lecture Series on World War II,YES
Homework Help: Plate Tectonics Questions Solved,YES
"Essay Writing: Definitions, Formulas, and Examples",YES
Shakespeare's Plays 101: Everything You Need to Know,YES
My a mechanical keyboard Wishlist for This Holiday Season,NO
5 sneakers You Should Buy Right Now,NO
Crash Course: Ancient Greek Philosophy,YES
Homework Help: The Immune System Questions Solved,YES
Research Paper: Advances in Neural Networks,YES
The Periodic Table - Full Course for Beginners,YES
Climate Change Science for High School Students,YES
My Fantasy Football Draft Picks for This Season (Watch Now),NO
"Relativity: Definitions, Formulas, and Examples",YES
Black Holes for High School Students,YES
Crash Course: Climate Change Science,YES
Crash Course: Microeconomics,YES
Practice Problems: Photosynthesis,YES
My sunglasses Wishlist for This Holiday Season,NO
Introduction to Thermodynamics,YES
Introduction to The Industrial Revolution,YES
Homework Help: Macroeconomics Questions Solved,YES
Giveaway Alert: Win a Free a fitness tracker!,NO
APA Citation Explained with Diagrams,YES
How Streaming Algorithms Recommend Content: A CS Lesson,YES
The Science Behind Renaissance Art,YES
Step-by-Step Guide to Mastering Climate Change Science,YES
University Lecture Series on Evolution,YES
The Best Deals on Gaming Laptops This Black Friday,NO
Flashcards: Key Terms in Quantum Mechanics,YES
Top 10 Funniest Apex Legends Fails of All Time,NO
Practice Problems: Behavioral Psychology,YES
Flashcards: Key Terms in Sociology of Media,YES
Computer Networks 101: Everything You Need to Know,YES
Elden Ring Live Stream - Come Hang Out!,NO
Ranking Every Counter-Strike 2 Map From Worst to Best,NO
Chopping Onions Life Hack You Need to Know (Watch Now),NO
A Hollywood couple's Wildest Moments Compilation,NO
My a smartwatch Wishlist for This Holiday Season,NO
Understanding Astrophysics: A Beginner's Guide,YES
Concert Tour Announcement: Tickets on Sale Now,NO
Exam Prep: The French Revolution Revision Notes,YES
How Does Statistics Work?,YES
How the Human Heart Pumps Blood: An Anatomy Lesson,YES
Giveaway Alert: Win a Free sunglasses!,NO
Step-by-Step Guide to Mastering Quantum Mechanics,YES
Cryptography - Full Course for Beginners,YES
Common Mistakes When Learning Black Holes,YES
Ranking Every FIFA 26 Map From Worst to Best,NO
Research Paper: Advances in Statistics,YES
"Game Theory: Definitions, Formulas, and Examples",YES
Top 10 Funniest Elden Ring Fails of All Time,NO
I Played Fortnite for 24 Hours Straight,NO
Giveaway Alert: Win a Free sneakers!,NO
Sociology of Media Cheat Sheet for Exams,YES
Research Paper: Advances in Cryptography,YES
Step-by-Step Guide to Mastering APA Citation,YES
A Deep Dive into The Roman Empire,YES
The Science Behind Cryptography,YES
Chess Streamer Rage Quits - Funny Clip (Watch Now),NO
A football star's Wildest Moments Compilation,NO
Best Deals on sneakers This Week,NO
Reacting to Viral TikTok Cooking Videos,NO
Comparing Theories of Evolution,YES
Crash Course: The Industrial Revolution,YES
The Periodic Table Tutorial for Students,YES
Game Theory Explained with Diagrams,YES
Crash Course: Research Methods,YES
Behavioral Psychology - Full Course for Beginners,YES
Lecture Notes: Human Anatomy,YES
Analyzing Shakespeare's Use of Iambic Pentameter (Full Explanation),YES
MIT OpenCourseWare - Renaissance Art,YES
Speedrunning Explained: The Physics of Frame-Perfect Jumps,YES
Huge Sale: a backpack Now 50% Off,NO
A Deep Dive into Kubernetes,YES
Cricket World Cup Final: Full Match Highlights,NO
How Does SQL Databases Work?,YES
An influencer Responds to Backlash in New Statement,NO
Exam Prep: Astrophysics Revision Notes,YES
Practice Problems: Calculus,YES
"Thermodynamics: Definitions, Formulas, and Examples",YES
Music Theory Behind Viral TikTok Songs,YES
How Neural Networks Learn: Backpropagation Explained,YES
Huge Sale: a phone case Now 50% Off,NO
Introduction to Object-Oriented Programming,YES
A phone case Review After 3 Months of Daily Use,NO
Flashcards: Key Terms in Behavioral Psychology,YES
Interactive Quiz on Machine Learning,YES
Understanding Camera Aperture: A Photography Physics Lesson,YES
Organic Chemistry Tutorial for Students,YES
A Deep Dive into Public Speaking,YES
Explaining the Electoral College for Civics Students,YES
Music Theory for High School Students,YES
"Spanish Grammar: Definitions, Formulas, and Examples",YES
Study Guide for Kubernetes,YES
How Does Cryptography Work?,YES
Common Mistakes When Learning Essay Writing,YES
My Fantasy Football Draft Picks for This Season,NO
"SQL Databases: Definitions, Formulas, and Examples",YES
How Does Evolution Work?,YES
Kubernetes Tutorial for Students,YES
Step-by-Step: Solving Quadratic Equations,YES
Huge Sale: a laptop Now 50% Off,NO
Docker Tutorial for Students,YES
Best Deals on a mechanical keyboard This Week,NO
Calculus - Full Course for Beginners,YES
Unboxing the New a robot vacuum: Is It Worth the Hype?,NO
The Science of Sleep: Why We Dream,YES
Overwatch 2 Live Stream - Come Hang Out!,NO
The Cold War Explained Simply,YES
The Science Behind Spanish Grammar,YES
How Roller Coasters Use Physics to Thrill Riders,YES
Step-by-Step Guide to Mastering Microeconomics,YES
Key Concepts in Cognitive Biases,YES
Minecraft Funny Moments Compilation - Try Not to Laugh,NO
Practice Problems: Supply and Demand,YES
FIFA 26 Pro Player Banned for Cheating,NO
Common Mistakes When Learning APA Citation,YES
A football star's New Reality Show Trailer Just Dropped,NO
Calculus Tutorial for Students,YES
GTA V Live Stream - Come Hang Out!,NO
Comparing Theories of Color Theory,YES
Flashcards: Key Terms in Calculus,YES
Object-Oriented Programming Explained Simply,YES
Algorithms 101: Everything You Need to Know,YES
How Airplanes Fly: The Physics of Lift and Drag,YES
5 an air fryer You Should Buy Right Now,NO
Common Mistakes When Learning Linear Algebra,YES
Interactive Quiz on The Cold War,YES
Understanding Photosynthesis: Light and Dark Reactions,YES
React Video: My Cat Reacts to Cucumbers,NO
A Deep Dive into Algorithms,YES
Introduction to Docker,YES
An air fryer Review After 3 Months of Daily Use,NO
Homework Help: Climate Change Science Questions Solved,YES
How to Balance Chemical Equations Step by Step,YES
A coffee maker Unboxing and First Impressions,NO
University Lecture Series on Relativity,YES
JavaScript Explained Simply,YES
A Deep Dive into Shakespeare's Plays,YES
Watch: a reality TV star Goes Viral on Social Media,NO
Microeconomics Explained with Diagrams,YES
Research Paper: Advances in Object-Oriented Programming,YES
University Lecture Series on Neural Networks,YES
10 Best Comedy Movies of 2024 You Have to Watch,NO
A Deep Dive into Astrophysics,YES
A tech billionaire Just Dropped a Shocking Announcement,NO
How Does Cell Biology Work?,YES
Interactive Quiz on Linear Algebra,YES
Analyzing Shakespeare's Use of Iambic Pentameter,YES
Homework Help: Black Holes Questions Solved,YES
Khan Academy: Kubernetes,YES
Overwatch 2 Pro Player Banned for Cheating,NO
Key Concepts in JavaScript,YES
University Lecture Series on Photosynthesis,YES
Introduction to Data Structures,YES
A coffee maker Review After 3 Months of Daily Use,NO
Newton's Laws Explained Simply,YES
Call of Duty New Update Patch Notes - What Changed,NO
A basketball star Drops Surprise Album at Midnight,NO
Top 10 Airplane Fails Caught on Camera,NO
Flashcards: Key Terms in JavaScript,YES
Khan Academy: The French Revolution,YES
Khan Academy: Big-O Notation,YES
Comparing Theories of Human Anatomy,YES
Apex Legends Tier List: Best Characters Ranked,NO
This TikTok Song Is Stuck in My Head - Reaction,NO
University Lecture Series on Genetics,YES
Introduction to Shakespeare's Plays,YES
Watch: a stand-up comedian Goes Viral on Social Media,NO
Roblox Pro Player Banned for Cheating,NO
Plate Tectonics Explained Simply,YES
Key Concepts in Essay Writing,YES
Photography Gear Haul: My New Camera Setup,NO
A Deep Dive into Supply and Demand,YES
MIT OpenCourseWare - Linear Algebra,YES
Crash Course: Shakespeare's Plays,YES
Comparing Theories of Renaissance Art,YES
Interactive Quiz on Color Theory,YES
Research Paper: Advances in SQL Databases,YES
Financial Accounting Explained with Diagrams,YES
A late-night host's Wildest Moments Compilation,NO
Homework Help: Evolution Questions Solved,YES
Calculus 101: Everything You Need to Know,YES
The History and Rules of Chess Openings (Full Explanation),YES
Flashcards: Key Terms in Spanish Grammar,YES
MIT OpenCourseWare - Cognitive Biases,YES
Football Match Highlights: Full Game Recap,NO
Interactive Quiz on Astrophysics,YES
Watch a Hollywood couple Perform Live at the Awards Show,NO
Weather Was Crazy Today - Storm Chasing Vlog,NO
Photosynthesis Memes That Only Biology Students Understand,NO
"Statistics: Definitions, Formulas, and Examples",YES
JavaScript Explained with Diagrams,YES
University Lecture Series on Renaissance Art,YES
Newton's Laws Cheat Sheet for Exams,YES
Best Deals on a phone case This Week,NO
Genetics for High School Students,YES
Genshin Impact Pro Player Banned for Cheating,NO
Animal Crossing Funny Moments Compilation #47,NO
I Spent $500 on Loot Boxes - Was It Worth It?,NO
New iPhone Release: Should You Upgrade?,NO
Research Paper: Advances in Big-O Notation,YES
University Lecture Series on Public Speaking,YES
How Does Music Theory Work?,YES
Key Concepts in Probability Theory,YES
Khan Academy: Financial Accounting,YES
Comparing Theories of Python Programming,YES
I Played Overwatch 2 for 24 Hours Straight,NO
Microeconomics for High School Students,YES
The Immune System Explained Simply,YES
Minecraft Base Tour - Come See My World!,NO
Learn Cognitive Biases in 30 Days,YES
The Cold War Cheat Sheet for Exams,YES
Homework Help: Essay Writing Questions Solved,YES
GPS Fails: Funniest Wrong Turns Ever,NO
A reality TV star Just Dropped a Shocking Announcement,NO
Research Paper: Advances in Python Programming,YES
Taylor Swift Drops Surprise Album at Midnight,NO
GTA V Funny Moments Compilation #47,NO
Learn Calculus in 30 Days,YES
Practice Problems: Operating Systems,YES
A Deep Dive into The Periodic Table,YES
Learn Music Theory in 30 Days,YES
The Chemistry of Baking Bread: A Food Science Lesson,YES
Lecture Notes: Probability Theory,YES
Genshin Impact Funny Moments Compilation #47,NO
Skincare products Review After 3 Months of Daily Use,NO
How Vaccines Train the Immune System,YES
Elden Ring New Update Patch Notes - What Changed,NO
DNA Replication for High School Students,YES
Statistics for High School Students,YES
Understanding Weather Patterns: Meteorology Basics (Full Explanation),YES
University Lecture Series on The French Language,YES
Study Guide for Relativity,YES
Understanding Supply Chains: An Economics Case Study,YES
Study Guide for Quantum Mechanics,YES
MIT OpenCourseWare - Machine Learning,YES
Statistics Cheat Sheet for Exams,YES
Unboxing the New noise-cancelling headphones: Is It Worth the Hype?,NO
Reacting to the New Elden Ring Trailer,NO
Common Mistakes When Learning Docker,YES
Research Paper: Advances in DNA Replication,YES
Game Theory Explained Simply,YES
Statistics Explained Simply,YES
Black Holes 101: Everything You Need to Know,YES
Learn Climate Change Science in 30 Days,YES
Practice Problems: Cell Biology,YES
Ranking Every Minecraft Map From Worst to Best,NO
Why Everyone Is Obsessed With a smartwatch This Year,NO
Human Anatomy Explained with Diagrams,YES
Giveaway Alert: Win a Free a smartwatch!,NO
Comparing Theories of The Cold War,YES
Microeconomics Tutorial for Students,YES
Homework Help: Research Methods Questions Solved,YES
A stand-up comedian Just Dropped a Shocking Announcement,NO
MIT OpenCourseWare - Climate Change Science,YES
University Lecture Series on Calculus,YES
Flashcards: Key Terms in The Periodic Table,YES
Understanding Cryptography: A Beginner's Guide,YES
Minecraft Base Tour - Come See My World! (Watch Now),NO
Interactive Quiz on Organic Chemistry,YES
How GPS Satellites Use Relativity to Stay Accurate,YES
Huge Sale: a robot vacuum Now 50% Off,NO
Reacting to the New Call of Duty Trailer,NO
Lecture Notes: React.js,YES
A reality TV star Spotted Out for Dinner - Photos Inside,NO
Thermodynamics Explained with Diagrams,YES
Study Guide for Research Methods,YES
The Science Behind The French Language,YES
Practice Problems: SQL Databases,YES
Unboxing the New a gaming chair: Is It Worth the Hype?,NO
A Deep Dive into World War II,YES
Roblox New Update Patch Notes - What Changed,NO
Khan Academy: Climate Change Science,YES
Why Do Leaves Change Color in Autumn? A Biology Lesson,YES
Practice Problems: The Roman Empire,YES
Is a late-night host Dating Someone New? Rumors Swirl,NO
Taylor Swift's New Reality Show Trailer Just Dropped,NO
Huge Sale: a fitness tracker Now 50% Off,NO
Why Everyone Is Obsessed With an air fryer This Year,NO
University Lecture Series on React.js,YES
Is a rapper Dating Someone New? Rumors Swirl,NO
Comparing Theories of Computer Networks,YES
Research Paper: Advances in Quantum Mechanics,YES
Ranking Every Fortnite Weapon Skin Tier List,NO
Reacting to the New Genshin Impact Trailer,NO
Best Deals on a gaming chair This Week,NO
Flashcards: Key Terms in Color Theory,YES
A Deep Dive into APA Citation,YES
Giveaway Alert: Win a Free a robot vacuum!,NO
Ancient Greek Philosophy Cheat Sheet for Exams,YES
Step-by-Step Guide to Mastering SQL Databases,YES
Astrophysics 101: Everything You Need to Know,YES
Watch: an Olympic athlete Goes Viral on Social Media,NO
Research Paper: Advances in APA Citation,YES
Interactive Quiz on Cognitive Biases,YES
Black Holes Explained Simply,YES
Step-by-Step Guide to Mastering The Periodic Table,YES
Learn The French Revolution in 30 Days,YES
Statistics 101: Everything You Need to Know,YES
Understanding The Water Cycle: A Beginner's Guide,YES
How Does Supply and Demand Work?,YES
"React.js: Definitions, Formulas, and Examples",YES
MIT OpenCourseWare - Music Theory,YES
Khan Academy: Evolution,YES
Crash Course: Evolution,YES
Exam Prep: Genetics Revision Notes,YES
I Converted My Savings to Crypto - Update Vlog,NO
Interactive Quiz on Docker,YES
The Best Chord Progressions for a Sad Song Playlist,NO
The Industrial Revolution for High School Students,YES
How Cooking Temperature Affects Protein Structure,YES
Huge Sale: noise-cancelling headphones Now 50% Off,NO
Taylor Swift Just Dropped a Shocking Announcement,NO
Homework Help: Python Programming Questions Solved,YES
Watch a basketball star Perform Live at the Awards Show,NO
Call of Duty Live Stream - Come Hang Out!,NO
Practice Problems: Essay Writing,YES
Study Guide for Spanish Grammar,YES
Exam Prep: The Roman Empire Revision Notes,YES
Study Guide for Probability Theory,YES
Research Methods for High School Students,YES
The Science Behind Big-O Notation,YES
"Kubernetes: Definitions, Formulas, and Examples",YES
Introduction to Big-O Notation,YES
Khan Academy: DNA Replication,YES
The French Revolution Explained Simply,YES
Practice Problems: Logic and Reasoning,YES
Watch: an influencer Goes Viral on Social Media,NO
Reading Comprehension Strategies for Standardized Tests,YES
Human Anatomy - Full Course for Beginners,YES
The French Language 101: Everything You Need to Know,YES
Exam Prep: Renaissance Art Revision Notes,YES
The Science Behind Cognitive Biases,YES
MIT OpenCourseWare - Newton's Laws,YES
A Deep Dive into Essay Writing,YES
How Currency Exchange Rates Are Calculated (Full Explanation),YES
Macroeconomics 101: Everything You Need to Know,YES
Homework Help: Ancient Greek Philosophy Questions Solved,YES
Khan Academy: Public Speaking,YES
Homework Help: Kubernetes Questions Solved,YES
How to Bake Bread: The Chemistry of Gluten Formation,YES
How Streaming Algorithms Recommend Content: A CS Lesson (Full Explanation),YES
Common Mistakes When Learning Music Theory,YES
Interactive Quiz on Python Programming,YES
Learn Python Programming in 30 Days,YES
Huge Sale: sunglasses Now 50% Off,NO
The Science Behind Neural Networks,YES
Homework Help: The Roman Empire Questions Solved,YES
I Played Among Us for 24 Hours Straight,NO
Key Concepts in Neural Networks,YES
"Computer Networks: Definitions, Formulas, and Examples",YES
Organic Chemistry 101: Everything You Need to Know,YES
"Quantum Mechanics: Definitions, Formulas, and Examples",YES
A phone case Unboxing and First Impressions,NO
Comparing Theories of Thermodynamics,YES
Call of Duty Pro Player Banned for Cheating,NO
Lecture Notes: The Roman Empire,YES
DNA Replication 101: Everything You Need to Know,YES
What Is Machine Learning? An Intuitive Explanation,YES
Best Deals on a laptop This Week,NO
Fortnite Live: Come Watch Me Grind for Wins,NO
SQL Databases Tutorial for Students,YES
A famous actor's Wildest Moments Compilation,NO
Relativity for High School Students,YES
Exam Prep: Chemical Bonding Revision Notes,YES
"Public Speaking: Definitions, Formulas, and Examples",YES
Understanding Linear Algebra: A Beginner's Guide,YES
Among Us New Update Patch Notes - What Changed,NO
Step-by-Step Guide to Mastering Essay Writing,YES
Comparing Theories of Public Speaking,YES
Among Us Pro Player Banned for Cheating,NO
Top 10 Shakespeare Movie Adaptations Ranked,NO
The Water Cycle Cheat Sheet for Exams,YES
Macroeconomics for High School Students,YES
Study Guide for Music Theory,YES
Introduction to Cognitive Biases,YES
Photography Gear Haul: My New Camera Setup (Watch Now),NO
Cell Biology Explained with Diagrams,YES
Interactive Quiz on DNA Replication,YES
Study Guide for Big-O Notation,YES
Restaurant Review: Best Burgers in Town,NO
Crash Course: Data Structures,YES
Lecture Notes: The Periodic Table,YES
Counter-Strike 2 Pro Player Banned for Cheating,NO
Crash Course: Organic Chemistry,YES
Fortnite Tier List: Best Characters Ranked,NO
Research Paper: Advances in Astrophysics,YES
Stock Market Crashes and Everyone Panics - Reaction Video,NO
A pop star's New Reality Show Trailer Just Dropped,NO
The Science Behind Newton's Laws,YES
Practice Problems: Relativity,YES
MIT OpenCourseWare - The Periodic Table,YES
Homework Help: The French Language Questions Solved,YES
Relativity Explained with Diagrams,YES
Plate Tectonics - Full Course for Beginners,YES
Sociology of Media Tutorial for Students,YES
Understanding Weather Patterns: Meteorology Basics,YES
Key Concepts in Calculus,YES
Introduction to The Cold War,YES
Khan Academy: Astrophysics,YES
MIT OpenCourseWare - Operating Systems,YES
Learn Relativity in 30 Days,YES
Ranking Every FIFA 26 Weapon Skin Tier List,NO
Crash Course: Big-O Notation,YES
The Biomechanics of a Perfect Golf Swing (Full Explanation),YES
Astrophysics Explained Simply,YES
Interactive Quiz on Plate Tectonics,YES
A pop star Spotted Out for Dinner - Photos Inside,NO
Learn Computer Networks in 30 Days,YES
University Lecture Series on Data Structures,YES
"Renaissance Art: Definitions, Formulas, and Examples",YES
University Lecture Series on Quantum Mechanics,YES
Best Deals on skincare products This Week,NO
Lecture Notes: Microeconomics,YES
The Roman Empire for High School Students,YES
Unboxing the New a fitness tracker: Is It Worth the Hype?,NO
Financial Accounting - Full Course for Beginners,YES
University Lecture Series on JavaScript,YES
Exam Prep: Sociology of Media Revision Notes,YES
Practice Problems: The French Language,YES
Sociology of Media - Full Course for Beginners,YES
Common Mistakes When Learning The French Language,YES
The Economics of Video Game Microtransactions,YES
Learn Object-Oriented Programming in 30 Days,YES
Exam Prep: Quantum Mechanics Revision Notes,YES
Genetics Explained with Diagrams,YES
Ranking Every Genshin Impact Weapon Skin Tier List,NO
How Does Human Anatomy Work?,YES
Flashcards: Key Terms in Python Programming,YES
Crash Course: Linear Algebra,YES
Lecture Notes: Cognitive Biases,YES
Linear Algebra Cheat Sheet for Exams,YES
Ranking Every Valorant Weapon Skin Tier List,NO
Reacting to the New Among Us Trailer,NO
Homework Help: Behavioral Psychology Questions Solved,YES
Learn Neural Networks in 30 Days,YES
Lecture Notes: Cryptography,YES
Step-by-Step Guide to Mastering Renaissance Art,YES
How Roller Coasters Use Physics to Thrill Riders (Full Explanation),YES
Step-by-Step Guide to Mastering Linear Algebra,YES
Thermodynamics - Full Course for Beginners,YES
Top 10 Shakespeare Movie Adaptations Ranked (Watch Now),NO
Lecture Notes: Logic and Reasoning,YES
World War II Tutorial for Students,YES
Golf Vlog: A Day at the Country Club,NO
Top 10 Funniest League of Legends Fails of All Time,NO
University Lecture Series on Color Theory,YES
"Behavioral Psychology: Definitions, Formulas, and Examples",YES
Riding the World's Scariest Roller Coaster - Vlog,NO
Khan Academy: SQL Databases,YES
The Anatomy of a Research Paper: Structure and Citations,YES
Comparing Theories of Macroeconomics,YES
Flashcards: Key Terms in The Water Cycle,YES
Understanding Photosynthesis: A Beginner's Guide,YES
Huge Sale: a coffee maker Now 50% Off,NO
Learn Photosynthesis in 30 Days,YES
"The Roman Empire: Definitions, Formulas, and Examples",YES
The Cutest Vaccine Reaction Videos From Toddlers,NO
Step-by-Step Guide to Mastering Shakespeare's Plays,YES
How Does Cognitive Biases Work?,YES
Unboxing the New wireless earbuds: Is It Worth the Hype?,NO
Exam Prep: The Periodic Table Revision Notes,YES
This Influencer's Skincare Routine Went Viral,NO
Step-by-Step Guide to Mastering Machine Learning,YES
MIT OpenCourseWare - The French Language,YES
Homework Help: The Water Cycle Questions Solved,YES
Step-by-Step Guide to Mastering Docker,YES
A Hollywood couple Spotted Out for Dinner - Photos Inside,NO
Practice Problems: Newton's Laws,YES
"Financial Accounting: Definitions, Formulas, and Examples",YES
5 a phone case You Should Buy Right Now,NO
Crash Course: Game Theory,YES
Study Guide for Black Holes,YES
Step-by-Step Guide to Mastering Chemical Bonding,YES
Crash Course: Machine Learning,YES
The Chemistry of Why Onions Make You Cry,YES
Crash Course: The Water Cycle,YES
Reacting to the New Counter-Strike 2 Trailer,NO
Why the Sky Is Blue: A Physics Explanation,YES
Key Concepts in Human Anatomy,YES
Game Theory for High School Students,YES
Balance Sheet? More Like Balance This Skateboard Trick,NO
Learn Black Holes in 30 Days,YES
How Does React.js Work?,YES
The Immune System Explained with Diagrams,YES
Exam Prep: JavaScript Revision Notes,YES
Practice Problems: JavaScript,YES
A Deep Dive into Macroeconomics,YES
Practice Problems: Shakespeare's Plays,YES
Key Concepts in The French Revolution,YES
An influencer Just Dropped a Shocking Announcement,NO
Financial Accounting Tutorial for Students,YES
How Does The French Revolution Work?,YES
University Lecture Series on Newton's Laws,YES
Interactive Quiz on Shakespeare's Plays,YES
Crash Course: Behavioral Psychology,YES
Research Paper: Advances in Data Structures,YES
Human Anatomy Explained Simply,YES
Macroeconomics Explained with Diagrams,YES
Khan Academy: Human Anatomy,YES
University Lecture Series on APA Citation,YES
Ranking Every Animal Crossing Weapon Skin Tier List,NO
Sneakers Unboxing and First Impressions,NO
"Music Theory: Definitions, Formulas, and Examples",YES
Crash Course: Logic and Reasoning,YES
Fashion Haul: Fall Wardrobe Essentials,NO
Research Paper: Advances in Macroeconomics,YES
How Does Spanish Grammar Work?,YES
Comparing Theories of Behavioral Psychology,YES
Step-by-Step Guide to Mastering Photosynthesis,YES
The Science Behind Microeconomics,YES
Why Everyone Is Obsessed With a laptop This Year,NO
Khan Academy: Game Theory,YES
Flashcards: Key Terms in Game Theory,YES
Machine Learning Explained Simply,YES
Unboxing the New a backpack: Is It Worth the Hype?,NO
Introduction to Kubernetes,YES
